Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Rational Numbers|Introduction to Rational Numbers|Empty|||1
Rational Numbers|Properties of Rational Numbers|Empty|||2
Rational Numbers|Representation of Rational Numbers on the Number Line|Empty|||3
Rational Numbers|Rational Numbers between Two Rational Numbers|Empty|||4
Linear Equations in One Variable|Introduction to Linear Equations|Empty|||1
Linear Equations in One Variable|Solving Equations which have Linear Expressions on one Side and Numbers on the Other Side|Empty|||2
Linear Equations in One Variable|Some Applications|Empty|||3
Linear Equations in One Variable|Solving Equations having the Variable on Both Sides|Empty|||4
Linear Equations in One Variable|Reducing Equations to Simpler Form|Empty|||5
Linear Equations in One Variable|Equations Reducible to the Linear Form|Empty|||6
Understanding Quadrilaterals|Introduction to Quadrilaterals|Empty|||1
Understanding Quadrilaterals|Polygons|Empty|||2
Understanding Quadrilaterals|Sum of the Measures of the Exterior Angles of a Polygon|Empty|||3
Understanding Quadrilaterals|Kinds of Quadrilaterals|Empty|||4
Understanding Quadrilaterals|Some Special Parallelograms|Empty|||5
Data Handling|Looking for Information|Empty|||1
Data Handling|Organising Data|Empty|||2
Data Handling|Grouping Data|Empty|||3
Data Handling|Circle Graph or Pie Chart|Empty|||4
Data Handling|Chance and Probability|Empty|||5
Squares and Square Roots|Introduction to Square and Square Roots|Empty|||1
Squares and Square Roots|Properties of Square Numbers|Empty|||2
Squares and Square Roots|Some More Interesting Patterns|Empty|||3
Squares and Square Roots|Finding the Square of a Number|Empty|||4
Squares and Square Roots|Square Roots|Empty|||5
Squares and Square Roots|Square Roots of Decimals|Empty|||6
Squares and Square Roots|Estimating Square Root|Empty|||7
Cubes and Cube Roots|Introduction to Cubes and Cube Roots|Empty|||1
Cubes and Cube Roots|Cubes|Empty|||2
Cubes and Cube Roots|Cube Roots|Empty|||3
Comparing Quantities|Recalling Ratios and Percentages|Empty|||1
Comparing Quantities|Finding the Increase or Decrease Per cent|Empty|||2
Comparing Quantities|Finding Discounts|Empty|||3
Comparing Quantities|Prices Related to Buying and Selling Profit and Loss|Empty|||4
Comparing Quantities|Sales Tax Value Added Tax Goods and Services Tax|Empty|||5
Comparing Quantities|Compound Interest|Empty|||6
Comparing Quantities|Deducing a Formula for Compound Interest|Empty|||7
Comparing Quantities|Rate Compounded Annually or Half Yearly|Empty|||8
Comparing Quantities|Applications of Compound Interest Formula|Empty|||9
Algebraic Expressions and Identities|What are Expressions|Empty|||1
Algebraic Expressions and Identities|Terms Factors and Coefficients|Empty|||2
Algebraic Expressions and Identities|Monomials Binomials and Polynomials|Empty|||3
Algebraic Expressions and Identities|Like and Unlike Terms|Empty|||4
Algebraic Expressions and Identities|Addition and Subtraction of Algebraic Expressions|Empty|||5
Algebraic Expressions and Identities|Multiplication of Algebraic Expressions|Empty|||6
Algebraic Expressions and Identities|Multiplying a Monomial by a Monomial and Polynomial|Empty|||7
Algebraic Expressions and Identities|Multiplying a Polynomial by a Polynomial|Empty|||8
Algebraic Expressions and Identities|What is an Identity|Empty|||9
Algebraic Expressions and Identities|Standard Identities|Empty|||10
Algebraic Expressions and Identities|Applying Identities|Empty|||11
Mensuration|Let us Recall|Empty|||1
Mensuration|Area of Trapezium|Empty|||2
Mensuration|Area of a General Quadrilateral|Empty|||3
Mensuration|Area of a Polygon|Empty|||4
Mensuration|Solid Shapes|Empty|||5
Mensuration|Surface Area of Cube Cuboid and Cylinder|Empty|||6
Mensuration|Volume of Cube Cuboid and Cylinder|Empty|||7
Mensuration|Volume and Capacity|Empty|||8
Exponents and Powers|Powers with Negative Exponents|Empty|||1
Exponents and Powers|Laws of Exponents|Empty|||2
Exponents and Powers|Use of Exponents to Express Small Numbers in Standard Form|Empty|||3
Direct and Inverse Proportions|Direct Proportion|Empty|||1
Direct and Inverse Proportions|Inverse Proportion|Empty|||2
Factorisation|What is Factorisation|Empty|||1
Factorisation|Division of Algebraic Expressions|Empty|||2
Factorisation|Division of Algebraic Expressions Continued Polynomial by Polynomial|Empty|||3
Factorisation|Can you Find the Error|Empty|||4
Introduction to Graphs|Linear Graphs|Empty|||1
Introduction to Graphs|Some Applications|Empty|||2
