Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Integers|Recall|Empty|||1
Integers|Properties of Addition and Subtraction of Integers|Empty|||2
Integers|Multiplication of Integers|Empty|||3
Integers|Properties of Multiplication of Integers|Empty|||4
Integers|Division of Integers|Empty|||5
Integers|Properties of Division of Integers|Empty|||6
Fractions and Decimals|Introduction|Empty|||1
Fractions and Decimals|Multiplication of Fractions|Empty|||2
Fractions and Decimals|Division of Fractions|Empty|||3
Fractions and Decimals|Multiplication of Decimal Numbers|Empty|||4
Fractions and Decimals|Division of Decimal Numbers|Empty|||5
Data Handling|Collecting Data|Empty|||1
Data Handling|Organisation of Data|Empty|||2
Data Handling|Representative Values|Empty|||3
Data Handling|Arithmetic Mean Mode and Median|Empty|||4
Data Handling|Use of Bar Graphs|Empty|||5
Data Handling|Chance and Probability|Empty|||6
Simple Equations|Setting up an Equation|Empty|||1
Simple Equations|Solving an Equation|Empty|||2
Simple Equations|Applications of Simple Equations|Empty|||3
Lines and Angles|Related Angles|Empty|||1
Lines and Angles|Pairs of Lines|Empty|||2
Lines and Angles|Checking for Parallel Lines|Empty|||3
The Triangle and its Properties|Medians of a Triangle|Empty|||1
The Triangle and its Properties|Altitudes of a Triangle|Empty|||2
The Triangle and its Properties|Exterior Angle of a Triangle and its Property|Empty|||3
The Triangle and its Properties|Angle Sum Property of a Triangle|Empty|||4
The Triangle and its Properties|Two Special Triangles Equilateral and Isosceles|Empty|||5
The Triangle and its Properties|Sum of the Lengths of Two Sides of a Triangle|Empty|||6
The Triangle and its Properties|Right-angled triangles and Pythagoras Property|Empty|||7
Comparing Quantities|Equivalent Ratios|Empty|||1
Comparing Quantities|Percentage|Empty|||2
Comparing Quantities|Use of Percentage|Empty|||3
Comparing Quantities|Prices Related to an Item or Buying and Selling|Empty|||4
Comparing Quantities|Simple Interest|Empty|||5
Rational Numbers|Need for Rational Numbers|Empty|||1
Rational Numbers|Positive and Negative Rational Numbers|Empty|||2
Rational Numbers|Rational Numbers on a Number Line|Empty|||3
Rational Numbers|Rational Numbers in Standard Form|Empty|||4
Rational Numbers|Comparison of Rational Numbers|Empty|||5
Rational Numbers|Rational Numbers Between Two Rational Numbers|Empty|||6
Rational Numbers|Operations on Rational Numbers|Empty|||7
Perimeter and Area|Squares and Rectangles|Empty|||1
Perimeter and Area|Area of a Parallelogram|Empty|||2
Perimeter and Area|Area of a Triangle|Empty|||3
Perimeter and Area|Circles|Empty|||4
Perimeter and Area|Conversion of Units|Empty|||5
Perimeter and Area|Applications|Empty|||6
Algebraic Expressions|How are Expressions Formed|Empty|||1
Algebraic Expressions|Terms of an Expression|Empty|||2
Algebraic Expressions|Like and Unlike Terms|Empty|||3
Algebraic Expressions|Monomials Binomials Trinomials and Polynomials|Empty|||4
Algebraic Expressions|Addition and Subtraction of Algebraic Expressions|Empty|||5
Algebraic Expressions|Finding the Value of an Expression|Empty|||6
Algebraic Expressions|Using Algebraic Expressions Formulas and Rules|Empty|||7
Exponents and Powers|Exponents|Empty|||1
Exponents and Powers|Laws of Exponents|Empty|||2
Exponents and Powers|Miscellaneous Examples Using the Laws of Exponents|Empty|||3
Exponents and Powers|Decimal Number System|Empty|||4
Exponents and Powers|Expressing Large Numbers in the Standard Form|Empty|||5
Symmetry|Line of Symmetry|Empty|||1
Symmetry|Rotational Symmetry|Empty|||2
Visualising Solid Shapes|Faces Edges and Vertices|Empty|||1
Visualising Solid Shapes|Nets for Building 3-D Shapes|Empty|||2
Visualising Solid Shapes|Drawing Solids on a Flat Surface|Empty|||3
Visualising Solid Shapes|Viewing Different Sections of a Solid|Empty|||4
