Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Patterns in Mathematics|Number patterns|Empty|||1
Patterns in Mathematics|Sequences|Empty|||2
Patterns in Mathematics|Visual patterns in shapes and numbers|Empty|||3
Lines and Angles|Types of lines|Empty|||1
Lines and Angles|Rays|Empty|||2
Lines and Angles|Angles|Empty|||3
Lines and Angles|Measuring with protractor|Empty|||4
Lines and Angles|Parallel and intersecting lines|Empty|||5
Number Play|Factors and multiples|Empty|||1
Number Play|Prime and composite numbers|Empty|||2
Number Play|HCF and LCM|Empty|||3
Number Play|Divisibility tests|Empty|||4
Data Handling and Presentation|Collecting data|Empty|||1
Data Handling and Presentation|Organizing data|Empty|||2
Data Handling and Presentation|Pictographs|Empty|||3
Data Handling and Presentation|Bar graphs|Empty|||4
Data Handling and Presentation|Pie charts|Empty|||5
Prime Time|Prime numbers|Empty|||1
Prime Time|Factorisation|Empty|||2
Prime Time|Divisibility applications|Empty|||3
Perimeter and Area|Perimeter of squares and rectangles|Empty|||1
Perimeter and Area|Area of squares and rectangles|Empty|||2
Perimeter and Area|Perimeter and area of triangles|Empty|||3
Perimeter and Area|Simple shapes|Empty|||4
Fractions|Types of fractions|Empty|||1
Fractions|Comparing fractions|Empty|||2
Fractions|Simplifying fractions|Empty|||3
Fractions|Addition and subtraction of fractions|Empty|||4
Playing with Constructions|Constructing lines|Empty|||1
Playing with Constructions|Constructing angles|Empty|||2
Playing with Constructions|Constructing circles|Empty|||3
Playing with Constructions|Bisectors using ruler and compass|Empty|||4
Symmetry|Lines of symmetry|Empty|||1
Symmetry|Rotational symmetry|Empty|||2
Symmetry|Symmetrical designs and objects|Empty|||3
The Other Side of Zero|Introduction to integers|Empty|||1
The Other Side of Zero|Representation on number line|Empty|||2
The Other Side of Zero|Basic addition and subtraction|Empty|||3
