Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Chapter-1: Electric Charges and Fields|Electric charges|Empty|||1
Chapter-1: Electric Charges and Fields|Conservation of charge|Empty|||2
Chapter-1: Electric Charges and Fields|Coulomb's law-force between two-point charges|Empty|||3
Chapter-1: Electric Charges and Fields|Forces between multiple charges|Empty|||4
Chapter-1: Electric Charges and Fields|Superposition principle and continuous charge distribution|Empty|||5
Chapter-1: Electric Charges and Fields|Electric field|Empty|||6
Chapter-1: Electric Charges and Fields|Electric field due to a point charge|Empty|||7
Chapter-1: Electric Charges and Fields|Electric field lines|Empty|||8
Chapter-1: Electric Charges and Fields|Electric dipole|Empty|||9
Chapter-1: Electric Charges and Fields|Electric field due to a dipole|Empty|||10
Chapter-1: Electric Charges and Fields|Torque on a dipole in uniform electric field|Empty|||11
Chapter-1: Electric Charges and Fields|Electric flux|Empty|||12
Chapter-1: Electric Charges and Fields|Statement of Gauss's theorem and its applications to find field due to infinitely long straight wire|Empty|||13
Chapter-1: Electric Charges and Fields|Uniformly charged infinite plane sheet and uniformly charged thin spherical shell (field inside and outside)|Empty|||14
Chapter-2: Electrostatic Potential and Capacitance|Electric potential|Empty|||1
Chapter-2: Electrostatic Potential and Capacitance|Potential difference|Empty|||2
Chapter-2: Electrostatic Potential and Capacitance|Electric potential due to a point charge, a dipole and system of charges|Empty|||3
Chapter-2: Electrostatic Potential and Capacitance|Equipotential surfaces|Empty|||4
Chapter-2: Electrostatic Potential and Capacitance|Electrical potential energy of a system of two-point charges and of electric dipole in an electrostatic field|Empty|||5
Chapter-2: Electrostatic Potential and Capacitance|Conductors and insulators|Empty|||6
Chapter-2: Electrostatic Potential and Capacitance|Free charges and bound charges inside a conductor|Empty|||7
Chapter-2: Electrostatic Potential and Capacitance|Dielectrics and electric polarization|Empty|||8
Chapter-2: Electrostatic Potential and Capacitance|Capacitors and capacitance|Empty|||9
Chapter-2: Electrostatic Potential and Capacitance|Combination of capacitors in series and in parallel|Empty|||10
Chapter-2: Electrostatic Potential and Capacitance|Capacitance of a parallel plate capacitor with and without dielectric medium between the plates|Empty|||11
Chapter-2: Electrostatic Potential and Capacitance|Energy stored in a capacitor (no derivation, formulae only)|Empty|||12
Chapter-3: Current Electricity|Electric current|Empty|||1
Chapter-3: Current Electricity|Flow of electric charges in a metallic conductor|Empty|||2
Chapter-3: Current Electricity|Drift velocity|Empty|||3
Chapter-3: Current Electricity|Mobility and their relation with electric current|Empty|||4
Chapter-3: Current Electricity|Ohm's law|Empty|||5
Chapter-3: Current Electricity|V-I characteristics (linear and non-linear)|Empty|||6
Chapter-3: Current Electricity|Electrical energy and power|Empty|||7
Chapter-3: Current Electricity|Electrical resistivity and conductivity|Empty|||8
Chapter-3: Current Electricity|Temperature dependence of resistance|Empty|||9
Chapter-3: Current Electricity|Internal resistance of a cell|Empty|||10
Chapter-3: Current Electricity|Potential difference and emf of a cell|Empty|||11
Chapter-3: Current Electricity|Combination of cells in series and in parallel|Empty|||12
Chapter-3: Current Electricity|Kirchhoff's rules|Empty|||13
Chapter-3: Current Electricity|Wheatstone bridge|Empty|||14
Chapter-4: Moving Charges and Magnetism|Concept of magnetic field|Empty|||1
Chapter-4: Moving Charges and Magnetism|Oersted's experiment|Empty|||2
Chapter-4: Moving Charges and Magnetism|Biot - Savart law and its application to current carrying circular loop|Empty|||3
Chapter-4: Moving Charges and Magnetism|Ampere's law and its applications to infinitely long straight wire|Empty|||4
Chapter-4: Moving Charges and Magnetism|Straight solenoid (only qualitative treatment)|Empty|||5
Chapter-4: Moving Charges and Magnetism|Force on a moving charge in uniform magnetic and electric fields|Empty|||6
Chapter-4: Moving Charges and Magnetism|Force on a current-carrying conductor in a uniform magnetic field|Empty|||7
Chapter-4: Moving Charges and Magnetism|Force between two parallel current-carrying conductors-definition of ampere|Empty|||8
Chapter-4: Moving Charges and Magnetism|Torque experienced by a current loop in uniform magnetic field|Empty|||9
Chapter-4: Moving Charges and Magnetism|Current loop as a magnetic dipole and its magnetic dipole moment|Empty|||10
